"SITE_ID","NTL","PTL","CHLA","WSA_ECO9","Year"
"NLA06608-1312",287,5,1.6,"SAP",2007
"NLA06608-1316",2606,269,62.4,"SAP",2007
"NLA06608-1319",4791,241,169.632,"TPL",2007
"NLA06608-1321",168,10,1.57,"WMT",2007
"NLA06608-1323",233,9,15.378,"SAP",2007
"NLA06608-1208",1340,182,138.816,"SPL",2007
"NLA06608-1209",437,22,6.552,"NAP",2007
"NLA06608-1210",4184,75,5.72,"NPL",2007
"NLA06608-0608",2184,327,102.6,"CPL",2007
"NLA06608-0609",3334,239,187.92,"CPL",2007
"NLA06608-0610",549,11,5.808,"NAP",2007
"NLA06608-0611",903,53,20.64,"TPL",2007
"NLA06608-0614",259,8,1.216,"WMT",2007
"NLA06608-0616",483,14,1.692,"SPL",2007
"NLA06608-0617",513,40,2.443,"WMT",2007
"NLA06608-0618",257,23,10.173,"CPL",2007
"NLA06608-0619",733,7,2.952,"UMW",2007
"NLA06608-0622",508,16,4.4,"UMW",2007
"NLA06608-0623",628,43,23.2,"NAP",2007
"NLA06608-0624",1274,49,35.2,"TPL",2007
"NLA06608-0625",55,1,0.615,"WMT",2007
"NLA06608-0627",616,11,3.192,"UMW",2007
"NLA06608-0628",793,40,2.304,"SPL",2007
"NLA06608-0630",771,8,2.616,"UMW",2007
"NLA06608-0632",746,44,34,"TPL",2007
"NLA06608-0663",6603,618,273.6,"TPL",2007
"NLA06608-0665",86,1,2.496,"CPL",2007
"NLA06608-0671",380,19,1.115,"WMT",2007
"NLA06608-0672",2273,213,63.36,"TPL",2007
"NLA06608-0674",243,3,1.024,"NAP",2007
"NLA06608-0677",1864,150,25.72,"XER",2007
"NLA06608-0678",462,52,8.267,"WMT",2007
"NLA06608-0679",635,13,12.112,"UMW",2007
"NLA06608-0681",249,9,3.435,"SAP",2007
"NLA06608-0686",1343,122,4.208,"UMW",2007
"NLA06608-0687",198,13,2.28,"WMT",2007
"NLA06608-0690",479,15,4.608,"NAP",2007
"NLA06608-0692",631,23,13.76,"SPL",2007
"NLA06608-0693",79,4,1.464,"XER",2007
"NLA06608-0696",829,252,32.616,"SPL",2007
"NLA06608-0713",138,7,1.652,"WMT",2007
"NLA06608-0715",123,4,3.545,"WMT",2007
"NLA06608-0717",2030,225,216,"CPL",2007
"NLA06608-0718",1869,616,2.64,"NPL",2007
"NLA06608-0720",1435,195,19.2,"SPL",2007
"NLA06608-0811",1224,51,50.04,"UMW",2007
"NLA06608-0812",357,11,6.448,"CPL",2007
"NLA06608-0721",441,21,7.104,"WMT",2007
"NLA06608-0723",1433,24,5.646,"SPL",2007
